Date,eur_mxn,usd_mxn,gbp_mxn
2017-09-05,21.2644,17.885799,23.1059
2017-09-06,21.3246,17.764999,23.321699
2017-09-07,21.201599,17.6514,23.191
2017-09-08,21.230499,17.7075,23.122101
2017-09-11,21.3036,17.6672,23.394199
2017-09-12,21.127701,17.725,23.2644
2017-09-13,21.2183,17.7617,23.554701
2017-09-14,21.108,17.6688,23.452
2017-09-15,21.062799,17.6551,23.6637
2017-09-18,21.046801,17.738701,23.926701
2017-09-19,21.226,17.816,23.989401
2017-09-20,21.363199,17.7974,24.0741
2017-09-21,21.126301,17.874701,24.003599
2017-09-22,21.353001,17.737101,24.2703
2017-09-25,21.1665,17.906601,23.9674
2017-09-26,21.2391,17.9484,24.132999
2017-09-27,21.165001,18.2211,24.1364
2017-09-28,21.4224,18.144899,24.428801
2017-09-29,21.389999,18.1264,24.382601
2017-10-02,21.519899,18.2451,24.408001
2017-10-03,21.407,18.2111,24.2188
2017-10-04,21.3937,18.2642,24.1106
2017-10-05,21.486401,18.4778,24.184999
2017-10-06,21.650999,18.4778,24.231701
2017-10-09,21.8155,18.665701,24.306299
2017-10-10,21.914801,18.812401,24.529699
2017-10-11,22.2251,18.691401,24.850599
2017-10-12,22.1766,18.879999,24.7437
2017-10-13,22.3374,18.9,25.0368
2017-10-16,22.358101,19.0429,25.148899
2017-10-17,22.4583,18.7939,25.231199
2017-10-18,22.1192,18.8813,24.791599
2017-10-19,22.267599,18.798901,24.944599
2017-10-20,22.284401,18.9809,24.733801
2017-10-23,22.3344,19.062599,25.0609
2017-10-24,22.420601,19.2341,25.1849
2017-10-25,22.615,19.095501,25.247299
2017-10-26,22.570801,19.1786,25.344601
2017-10-27,22.330799,19.125,25.1924
2017-10-30,22.2278,19.226299,25.156099
2017-10-31,22.4067,19.1712,25.4014
2017-11-01,22.3384,19.115299,25.4779
2017-11-02,22.2257,18.9823,25.3307
2017-11-03,22.131701,19.201799,24.7752
2017-11-06,22.2717,19.0464,25.080299
2017-11-07,22.116199,19.133499,25.0884
2017-11-08,22.1971,19.090401,25.2012
2017-11-09,22.142,19.0256,25.047701
2017-11-10,22.155399,19.1015,25.003901
2017-11-13,22.2782,19.107,25.065001
2017-11-14,22.3001,19.157499,25.0823
2017-11-15,22.592501,19.236,25.203899
2017-11-17,22.432199,18.901899,25.1416
2017-11-20,22.2216,18.9939,25.0068
